Headline,Link
"Watch: 'Looks like a toy, but it's real': BBC examines a downed Russian droneDrones like this one were shot down over Polish airspace in the early hours of Wednesday.14 hrs agoEurope",https://www.bbc.com/news/videos/czewd31724lo
1Utah governor details how Charlie Kirk murder suspect was apprehended,https://www.bbc.com/news/videos/c98e17y455yo
2New clues in hunt for Charlie Kirk's killer,https://www.bbc.com/news/videos/ce84y9ep1z8o
3Watch: Video shows moment Kirk shooting suspect flees the scene,https://www.bbc.com/news/videos/cly0d2dk2gpo
"4'Looks like a toy, but it's real': BBC examines a downed Russian drone",https://www.bbc.com/news/videos/czewd31724lo
5Video of US missile fired at mystery orb shown at UFO hearing,https://www.bbc.com/news/videos/cj07rg34l62o
"Labour MP says PM not up to the job, as Mandelson backlash grows No 10 say Peter Mandelson was sacked as the UK's ambassador after new information about his links to Jeffrey Epstein came to light. 19 mins agoPolitics",https://www.bbc.com/news/articles/cx238pwwqg6o
South African rapist loses bid to block Netflix film about his lifeThabo Bester had argued the documentary would affect his trial for allegedly faking his death to escape prison.2 hrs agoAfrica,https://www.bbc.com/news/articles/cq65ygpv7p1o
Bike gifted to round-the-world trip theft victimAn Indian content creator had driven through 17 countries before his bike was stolen in Nottingham.11 hrs agoNottinghamshire,https://www.bbc.com/news/articles/cvg9py8567no
Major Australian gas project extended until 2070Stricter emissions targets have now been imposed on Woodside Energy's North West Shelf project.9 hrs agoAustralia,https://www.bbc.com/news/articles/cpw1d2wdj84o
"Nasa bans Chinese nationals from working on its space programmesEarlier this month, Chinese nationals working with Nasa suddenly found themselves denied access. 1 day agoWorld",https://www.bbc.com/news/articles/c9wd5qpekkvo
South African rapist loses bid to block Netflix film about his lifeThabo Bester had argued the documentary would affect his trial for allegedly faking his death to escape prison.2 hrs agoAfrica,https://www.bbc.com/news/articles/cq65ygpv7p1o
British national freed in Belarus release dealJulia Fenner was given a long jail term after being detained while entering Belarus in March 2024.2 hrs agoEurope,https://www.bbc.com/news/articles/cx27xk9vdd8o
"Court orders 'tribe' to be evicted from Scottish woodlandA sheriff orders the three members of a self-styled ""African tribe"" to be removed from privately-owned land in the Scottish Borders.4 hrs agoSouth Scotland",https://www.bbc.com/news/articles/c62zxjy0j91o
Bike gifted to round-the-world trip theft victimAn Indian content creator had driven through 17 countries before his bike was stolen in Nottingham.11 hrs agoNottinghamshire,https://www.bbc.com/news/articles/cvg9py8567no
"1As Russian army inches closer, Ukrainians must decide to stay or go",https://www.bbc.com/news/articles/cy50kk14y00o
